F1,F2,Zv1,Zv2,phi,Th,L,Total
4.8,1.21,4.9,-1.87,0.5,0.125,32,5.55
4.34,1.09,4.36,-1.95,0.5,0.125,45,6.07
4.71,0.81,5.1,-1.49,0.5,0.125,42,6.06
5.55,1.04,5.3,-1.46,0.5,0.125,38,5.94
3.08,0.95,2.82,-1.6,0.4,0.097,36,3.88
4.71,1.48,4.82,0.94,0.5,0.125,16,5.7
4.2,2.14,4.02,-0.76,0.5,0.125,30,5.59
4.69,3.22,4.37,-1.63,0.55,0.105,16,5.51
2.51,1.61,2.53,0.55,0.55,0.105,18,3.85
3.53,1.01,3.54,-1.62,0.55,0.105,34,5.72
4.41,1.21,4.45,-1.86,0.55,0.105,46,5.84
5.49,0.57,5.39,-2.3,0.55,0.105,40,5.52
2.87,0.5,2.79,2.21,0.55,0.105,20,3.99
3.86,0.7,3.9,-2.26,0.55,0.105,42,3.72
3.04,0.7,2.97,-2.29,0.5,0.1,40,4.64
4.05,1.15,4,-0.25,0.55,0.105,32,5.56
5.59,2.12,5.28,-2.01,0.5,0.125,40,5.68
6.05,1.79,5.91,-2.8,0.5,0.125,44,5.78
3.72,2.2,3.69,-0.47,0.55,0.105,44,3.76
2.76,0.6,3.08,0.99,0.5,0.125,20,3.07
6.46,0.75,6.68,-2.84,0.55,0.11,64,7.79
3.34,1.16,3.2,0.41,0.5,0.125,31,3.01
3.44,1.54,3.41,-0.15,0.5,0.125,27,3.3
7.58,1.68,6.98,-2.47,0.6,0.13,49,7.25
5.49,1.19,5.48,-3.29,0.6,0.13,63,8.21
6.42,0.92,6.11,-3.06,0.6,0.13,55,7.71
5.62,1.53,5.75,-2.57,0.6,0.13,54,7.43
6.01,0.47,6.09,-3.39,0.6,0.13,63,7.85
5.91,0.6,5.86,-1.74,0.6,0.13,49,7.13
6.32,0.9,6.49,-3.8,0.6,0.13,63,7.94
5.31,1.33,5.35,-3.3,0.6,0.13,63,7.81
5.36,0.56,5.02,-2.04,0.55,0.11,55,5.93
5.87,1.26,5.66,-2.69,0.55,0.115,53,5.9
5.28,1.48,5.08,-2.59,0.55,0.115,54,6.58
4.68,1.06,4.39,-1.76,0.5,0.125,45,5.7
4.11,1.04,3.94,-1.89,0.5,0.125,44,5.95
4.19,0.95,4.01,-1.61,0.5,0.125,45,5.57
4.58,1.11,4.58,-1.68,0.5,0.125,31,5.57
4.66,0.72,4.52,-1.64,0.5,0.125,36,5.82
4.37,0.29,3.94,-1.53,0.5,0.125,40,5.84
4.82,1.23,4.72,-1.12,0.5,0.125,40,5.86
4.15,0.67,4.02,-1.52,0.5,0.125,40,5.68
4.68,1.11,4.58,-1.56,0.5,0.125,40,5.74
4.25,-0.15,4.22,-1.74,0.5,0.125,40,5.96
6.54,0.7,6.48,-2.89,0.6,0.13,67,7.34
6.4,1.09,6.31,-3.38,0.6,0.13,67,7.34
7.98,1.02,7.94,-3.56,0.6,0.13,54,7.65
5.84,0.95,5.85,-3.72,0.6,0.13,67,8.32
6.14,1.78,6.17,-2.81,0.6,0.13,67,8.21
6.21,0.06,6.28,-2.91,0.6,0.13,55,7.95
4.18,0.85,4.11,-2.59,0.55,0.115,52,6.61
5.54,1.14,5.53,-2.3,0.55,0.115,52,6.75
8.28,2.4,8.1,-4.73,0.6,0.13,51,8.47
3.7,1.42,3.62,-1.78,0.5,0.125,34,5.51
3.45,1.84,3.44,-1.73,0.5,0.125,34,5.78
5.39,0.95,5.19,-2.64,0.6,0.13,49,7.66
5.92,0.8,5.54,-2.69,0.6,0.13,49,7.57
5.41,1.03,5.26,-3.27,0.6,0.13,50,7.84
5.89,1.11,5.85,-3.28,0.6,0.13,51,7.66
5.15,0.35,5.04,-3.14,0.6,0.13,58,7.25
2.98,2.69,2.83,-0.43,0.4,0.095,29,3.82
2.42,0.42,2.37,-2.18,0.4,0.095,40,4.37
2.52,1.06,2.43,-2.01,0.4,0.095,41,4.33
3.95,2.04,3.61,0.04,0.5,0.125,16,5.54
3.41,2.45,3.11,1.62,0.5,0.125,8,4.04
4.11,2.23,4.16,-0.74,0.5,0.125,23,5.42
4.25,2.36,4.15,-0.75,0.5,0.125,29,5.63
5.52,2.15,5.03,-1.88,0.5,0.1,31,4.8
4.77,2.38,4.44,-1.74,0.5,0.1,33,5.25
4.72,2.32,4.56,-1.6,0.5,0.125,33,5.75
5.95,3.57,5.4,0.21,0.5,0.125,16,6.06
4.25,1.69,4.1,-2.11,0.5,0.125,40,5.88
5.26,1.64,4.95,-3.37,0.5,0.125,42,6.23
3.7,0.39,3.61,-1.87,0.5,0.125,50,2.72
3.81,0.9,3.8,-1.49,0.5,0.125,42,2.83
4.95,1.4,4.68,-1.47,0.5,0.125,42,5.94
4.11,0.9,4.08,-2.82,0.5,0.125,51,5.68
4.5,3.6,4.44,-0.75,0.5,0.125,29,5.62
5.32,1.19,5.2,-2.53,0.5,0.125,43,5.51
4.5,0.19,4.38,-1.56,0.5,0.125,42,5.47
4.32,2.91,4.4,-1,0.5,0.125,38,5.7
